ch-median,ch-p1,ch-p2,teen-median,teen-p1,teen-p2,adu-median,adu-p1,adu-p2,sen-median,sen-p1,sen-p2,all-median,all-p1,all-p2,adu+sen-median,adu+sen-p1,adu+sen-p2,time
6.16916890080429,5.823231476968072,6.607750731172312,13.329419628814092,11.969181346335326,14.774403507392261,15.72786334056399,15.146093343275489,16.677547451193057,10.586226120567902,10.235137329963576,11.121437411729726,13.213333436060218,12.676848005300709,14.050550872921706,14.355089106550375,13.832772435579043,15.192510827886277,2020-11-23
6.211869363880088,5.843422495734828,6.664210638557154,13.461717521233092,12.068783422459893,14.945885498584461,15.810305043383948,15.209091445227767,16.78735513828633,10.633133873485468,10.267301159592655,11.187792685646324,13.294346425874847,12.732600698029184,14.150200355948655,14.427852502334453,13.888867939522779,15.290704557646075,2020-11-24
6.255538630270534,5.866267669997563,6.724749268827686,13.592521233092167,12.16583123623781,15.1132447310475,15.906991594360086,15.271587716919743,16.895156385574833,10.676150301048093,10.305519586709282,11.253384746896604,13.374101268163397,12.779803920057939,14.24791596683976,14.499498341048616,13.944755925535931,15.387224137245942,2020-11-25
6.297757738240312,5.894075676334389,6.784408969047039,13.72316766278704,12.244913101604277,15.281655787983643,15.989827819956616,15.329021285249457,17.00180436550976,10.721006466959043,10.342136883966402,11.318199658068833,13.449552367597885,12.826224247653975,14.344749217991584,14.586500903979497,13.999904436453221,15.482690978085948,2020-11-26
6.338721667072874,5.919818120887156,6.842463441384352,13.851564957533816,12.320825731362065,15.445724677571564,16.077300704989153,15.385367611171366,17.106522776572668,10.76812235189177,10.37845554894819,11.382045454545455,13.527012804906237,12.864108972679785,14.440276168389909,14.654900363578566,14.054538324757118,15.576484960165297,2020-11-27
6.379612478674141,5.944546977821107,6.900096575676334,13.978129915067631,12.398363085876062,15.608162944322114,16.15885981561822,15.437980748373105,17.210389167570497,10.83045789043336,10.416268861963875,11.444710287668178,13.605426290891721,12.90068990091992,14.53475029662388,14.732824389565494,14.104786521765044,15.669339002245048,2020-11-28
6.420539848891055,5.969016877894224,6.956414818425541,14.104081472161058,12.473700062912865,15.771099795533187,16.23915672451193,15.48643600867679,17.31275854121475,10.878138705121534,10.452418048019027,11.506886568051735,13.682774242260813,12.935512350339767,14.630163027566757,14.803710289472116,14.153912641805574,15.760965569308404,2020-11-29
6.461278332927127,5.993462710212041,7.013073970265659,14.231975463982385,12.549343740169865,15.93151384083045,16.324632592190888,15.526160927331887,17.415575447396964,10.922794172303576,10.488801010926931,11.56939455883446,13.76106907869393,12.970333644082162,14.733119789820792,14.877047861244113,14.199171964714997,15.853008711978225,2020-11-30
6.500974896417255,6.017401596392883,7.06775712893005,14.355670022019503,12.625137228688267,16.100685750235925,16.40845715835141,15.566005151843815,17.51715740238612,10.973191853118264,10.525090686092321,11.631153831859065,13.837776014299582,13.00511568331356,14.834847219440034,14.95210100729144,14.235462420280932,15.943946863886516,2020-12-01
6.541049232269072,6.041283816719473,7.1226587253229345,14.481629443221138,12.700265806857502,16.26660073922617,16.492809110629068,15.604369373644255,17.622878321583514,11.018445699843902,10.560782725042742,11.691464357392402,13.91346210148389,13.050567476154521,14.93538734456138,15.027321041861205,14.270761180537619,16.033811316631237,2020-12-02
6.581050450889593,6.065010053619303,7.176197294662442,14.604553318653664,12.773772412708398,16.42945580371186,16.5757510845987,15.64229792570499,17.73310188449024,11.075083624470379,10.596671560246785,11.751602616516761,13.98487911613788,13.097637718230425,15.035362497496031,15.101427492897304,14.305486956867265,16.124373323664393,2020-12-03
6.621904703875213,6.088466061418474,7.2303140994394335,14.726612142183077,12.84762425290972,16.591313306071093,16.658389370932756,15.679867814533623,17.84170715835141,11.119255928045789,10.632303947075002,11.810228387720212,14.056287655823844,13.143140206789218,15.133647163967519,15.175224008106014,14.338992609222577,16.221488635686327,2020-12-04
6.663087984401657,6.112386363636364,7.282731233243969,14.848631645171437,12.922357266435988,16.74976840201321,16.740136930585685,15.723123576464209,17.948889167570496,11.162001040660076,10.666694603434179,11.868611462127404,14.127071359230781,13.186575920304485,15.230616592446491,15.247911906701368,14.37221931933324,16.31715648779131,2020-12-05
6.703253716792591,6.135756154033634,7.335226663417011,14.966616860648003,12.99476643598616,16.908849874174265,16.820322668112798,15.773968207700651,18.054816770607374,11.205980078792834,10.700476101984687,11.9264047052702,14.19703453164245,13.229304051034715,15.326575612123825,15.320258081179345,14.405314008702044,16.411799465559376,2020-12-06
6.743900804289544,6.158859980502073,7.386252741896173,15.083681975463982,13.067081236237808,17.06580960994023,16.896877711496746,15.82491235086768,18.161168994034707,11.253579127332193,10.726713744146288,11.984116739760648,14.266473796939765,13.272068739695207,15.42229305668983,15.392023125980966,14.447116504082809,16.506745077781968,2020-12-07
6.78374969534487,6.1815400316841345,7.437924689251767,15.199834853727587,13.13981401384083,17.221813856558665,16.972401030368765,15.874960954446856,18.26562988069414,11.301070393220844,10.749034230283208,12.042073886865381,14.3352612601507,13.314666432963001,15.51665882090081,15.46264081219081,14.4921227624024,16.600229769733573,2020-12-08
6.820704362661467,6.204699000731172,7.488594321228368,15.31395879207298,13.211182761874804,17.375011796162315,17.04769251626898,15.921710954446855,18.368246881778738,11.348357243737457,10.771175945885677,12.102883371738645,14.405811516711095,13.35704531796539,15.609413455167417,15.529728011443785,14.53726248187074,16.69181684978046,2020-12-09
6.857933219595418,6.2275298562027785,7.5386339263953195,15.427555835168292,13.283388644227745,17.527061575967284,17.12303009761388,15.96797281724512,18.470149403470717,11.39551772838772,10.793576339849848,12.163741172972571,14.477290937947824,13.39896235573293,15.701453457016504,15.59650527486937,14.581831303518566,16.78297920847158,2020-12-10
6.894558859371192,6.253308250060931,7.588062393370704,15.541365209185278,13.354090122680088,17.6773427178358,17.19767082429501,16.01423027386117,18.570309856290674,11.442347431799599,10.815126180034191,12.223481565450086,14.548635530147772,13.440728731682512,15.792250450714207,15.662640812190809,14.622965251425507,16.872540977092566,2020-12-11
